"","datetime","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"dtime.208","2004-1-9 17:00:00",33,28,30,33,28,31,30,32,30,31,28
"dtime.209","2004-1-9 18:00:00",31,28,29,32,26,31,30,32,29,31,28
"dtime.210","2004-1-9 19:00:00",31,26,27,32,24,31,29,30,26,30,27
"dtime.211","2004-1-9 20:00:00",31,26,25,32,23,30,28,30,28,29,26
"dtime.212","2004-1-9 21:00:00",30,25,23,31,20,29,28,30,27,29,24
"dtime.213","2004-1-9 22:00:00",29,24,22,31,20,28,28,28,25,27,21
"dtime.214","2004-1-9 23:00:00",27,24,20,31,18,28,25,28,23,27,19
"dtime.215","2004-1-9 24:00:00",26,23,18,31,17,27,23,28,21,27,19
"dtime.216","2004-1-10 1:00:00",24,21,16,29,15,27,21,27,18,26,17
"dtime.217","2004-1-10 2:00:00",22,18,16,27,14,26,20,25,18,25,14
"dtime.218","2004-1-10 3:00:00",21,17,14,26,12,25,18,23,15,24,13
"dtime.219","2004-1-10 4:00:00",20,14,12,24,11,23,16,21,14,21,10
"dtime.220","2004-1-10 5:00:00",19,13,11,22,10,22,14,19,13,21,10
"dtime.221","2004-1-10 6:00:00",19,12,11,22,10,20,14,19,12,19,9
"dtime.222","2004-1-10 7:00:00",17,12,9,21,8,19,14,19,12,18,9
"dtime.223","2004-1-10 8:00:00",17,11,9,19,8,17,12,18,11,16,8
"dtime.224","2004-1-10 9:00:00",15,10,8,19,8,17,12,18,11,16,8
"dtime.225","2004-1-10 10:00:00",15,9,9,19,9,17,12,18,11,16,7
"dtime.226","2004-1-10 11:00:00",19,13,9,20,10,19,14,18,13,18,10
"dtime.227","2004-1-10 12:00:00",19,14,11,21,12,20,18,21,17,19,12
"dtime.228","2004-1-10 13:00:00",19,17,13,23,14,22,19,22,18,21,14
"dtime.229","2004-1-10 14:00:00",22,18,14,24,15,23,20,24,19,23,16
"dtime.230","2004-1-10 15:00:00",22,20,17,25,16,24,21,24,20,24,17
"dtime.231","2004-1-10 16:00:00",20,21,17,25,17,24,23,25,21,24,18
"dtime.232","2004-1-10 17:00:00",20,21,17,24,17,24,22,24,21,24,18
"dtime.233","2004-1-10 18:00:00",20,20,17,23,16,24,19,22,19,24,18
"dtime.234","2004-1-10 19:00:00",18,18,15,20,15,21,18,19,17,20,15
"dtime.235","2004-1-10 20:00:00",18,15,14,18,13,19,16,18,15,17,11
"dtime.236","2004-1-10 21:00:00",18,11,13,19,13,17,14,18,11,16,9
"dtime.237","2004-1-10 22:00:00",18,9,12,18,13,17,12,16,11,14,7
"dtime.238","2004-1-10 23:00:00",18,8,12,17,12,15,12,16,10,14,5
"dtime.239","2004-1-10 24:00:00",18,7,11,16,12,14,12,13,9,12,5
"dtime.240","2004-1-11 1:00:00",18,5,10,14,12,13,11,12,9,11,3
"dtime.241","2004-1-11 2:00:00",18,4,10,13,11,11,11,11,7,8,3
"dtime.242","2004-1-11 3:00:00",16,3,11,12,11,11,11,10,7,8,1
"dtime.243","2004-1-11 4:00:00",15,3,10,12,10,9,10,9,7,7,1
"dtime.244","2004-1-11 5:00:00",15,3,9,12,10,9,11,9,7,6,1
"dtime.245","2004-1-11 6:00:00",15,2,9,12,10,9,11,9,5,7,1
"dtime.246","2004-1-11 7:00:00",13,2,9,12,9,8,10,9,6,6,1
"dtime.247","2004-1-11 8:00:00",15,2,9,11,9,7,10,9,5,5,1
"dtime.248","2004-1-11 9:00:00",16,4,8,12,9,8,10,9,7,6,1
"dtime.249","2004-1-11 10:00:00",21,8,10,17,14,14,16,17,13,13,6
"dtime.250","2004-1-11 11:00:00",26,13,17,22,18,19,19,22,18,19,13
"dtime.251","2004-1-11 12:00:00",27,17,19,25,20,22,24,26,23,22,19
"dtime.252","2004-1-11 13:00:00",27,21,22,26,24,25,27,27,26,26,24
"dtime.253","2004-1-11 14:00:00",28,25,24,28,25,28,28,29,27,28,27
"dtime.254","2004-1-11 15:00:00",28,28,26,29,27,30,29,29,29,29,31
"dtime.255","2004-1-11 16:00:00",28,30,27,30,27,31,31,31,30,31,31
"dtime.256","2004-1-11 17:00:00",28,31,27,31,27,33,30,31,30,32,31
"dtime.257","2004-1-11 18:00:00",28,31,26,29,26,30,29,29,30,30,33
"dtime.258","2004-1-11 19:00:00",26,30,26,28,26,29,28,27,30,29,33
"dtime.259","2004-1-11 20:00:00",26,30,24,28,24,28,27,27,29,28,33
"dtime.260","2004-1-11 21:00:00",27,28,25,28,26,26,28,27,29,27,32
"dtime.261","2004-1-11 22:00:00",28,30,25,27,26,27,28,27,30,28,31
"dtime.262","2004-1-11 23:00:00",28,31,27,27,28,28,29,27,30,29,31
"dtime.263","2004-1-11 24:00:00",28,30,28,27,29,28,29,28,30,29,30
"dtime.264","2004-1-12 1:00:00",28,34,29,28,30,28,29,28,29,29,35
"dtime.265","2004-1-12 2:00:00",30,33,30,29,30,29,31,28,30,30,35
"dtime.266","2004-1-12 3:00:00",30,32,30,30,30,29,32,30,32,30,36
"dtime.267","2004-1-12 4:00:00",32,33,31,31,31,30,32,31,32,31,36
"dtime.268","2004-1-12 5:00:00",34,34,31,31,31,31,33,30,32,32,36
"dtime.269","2004-1-12 6:00:00",34,34,32,31,31,32,33,31,32,33,36
"dtime.270","2004-1-12 7:00:00",34,33,32,32,31,31,33,32,32,32,36
"dtime.271","2004-1-12 8:00:00",35,32,31,33,31,32,32,33,31,33,36
"dtime.272","2004-1-12 9:00:00",36,32,31,33,29,32,34,33,32,33,36
"dtime.273","2004-1-12 10:00:00",39,39,31,36,33,38,37,38,34,38,40
"dtime.274","2004-1-12 11:00:00",43,42,35,41,37,42,43,43,39,43,44
"dtime.275","2004-1-12 12:00:00",46,44,38,46,41,46,48,50,46,47,48
"dtime.276","2004-1-12 13:00:00",49,47,42,49,44,51,53,50,51,51,50
"dtime.277","2004-1-12 14:00:00",51,49,46,54,46,53,54,54,52,54,51
"dtime.278","2004-1-12 15:00:00",53,50,50,56,49,56,56,55,54,55,52
"dtime.279","2004-1-12 16:00:00",53,50,50,57,49,57,57,57,55,57,50
"dtime.280","2004-1-12 17:00:00",52,50,48,57,46,56,55,57,55,56,49
"dtime.281","2004-1-12 18:00:00",49,47,47,54,46,54,54,54,51,55,44
"dtime.282","2004-1-12 19:00:00",45,45,45,50,44,50,50,49,48,50,44
"dtime.283","2004-1-12 20:00:00",43,42,44,48,45,47,48,46,47,47,44
"dtime.284","2004-1-12 21:00:00",43,39,44,45,45,46,43,38,43,44,41
"dtime.285","2004-1-12 22:00:00",44,42,42,41,45,47,40,35,40,45,41
"dtime.286","2004-1-12 23:00:00",41,42,44,38,44,42,37,35,40,40,41
"dtime.287","2004-1-12 24:00:00",38,41,44,35,44,40,38,32,36,36,40
"dtime.288","2004-1-13 1:00:00",34,48,40,31,42,43,36,30,38,39,39
"dtime.289","2004-1-13 2:00:00",30,48,39,30,42,43,33,27,33,38,37
"dtime.290","2004-1-13 3:00:00",28,45,38,29,40,42,32,27,30,37,36
"dtime.291","2004-1-13 4:00:00",28,39,35,28,35,40,30,26,30,35,36
"dtime.292","2004-1-13 5:00:00",29,39,37,28,35,37,27,27,29,33,37
"dtime.293","2004-1-13 6:00:00",29,37,33,28,36,39,27,30,28,35,37
"dtime.294","2004-1-13 7:00:00",31,37,31,28,31,39,33,27,33,34,36
"dtime.295","2004-1-13 8:00:00",31,43,33,26,32,42,34,30,32,37,36
"dtime.296","2004-1-13 9:00:00",36,46,34,29,33,45,37,34,33,42,35
"dtime.297","2004-1-13 10:00:00",43,40,36,39,40,43,43,41,40,43,41
"dtime.298","2004-1-13 11:00:00",47,43,40,46,42,46,45,46,45,46,44
"dtime.299","2004-1-13 12:00:00",49,45,46,52,44,51,52,53,51,52,48
"dtime.300","2004-1-13 13:00:00",49,47,47,55,49,54,54,54,53,54,50
"dtime.301","2004-1-13 14:00:00",53,49,49,58,50,56,55,57,56,56,49
"dtime.302","2004-1-13 15:00:00",54,49,50,58,50,58,57,57,55,58,48
"dtime.303","2004-1-13 16:00:00",55,48,51,59,48,58,58,58,55,58,47
"dtime.304","2004-1-13 17:00:00",54,47,49,58,47,58,56,58,54,58,44
"dtime.305","2004-1-13 18:00:00",52,45,47,56,44,55,51,56,48,55,42
"dtime.306","2004-1-13 19:00:00",48,43,44,51,42,52,47,52,43,53,39
"dtime.307","2004-1-13 20:00:00",44,42,39,50,41,50,46,51,42,51,37
"dtime.308","2004-1-13 21:00:00",41,39,38,49,38,48,41,48,40,48,35
"dtime.309","2004-1-13 22:00:00",39,37,37,45,35,46,38,43,40,45,33
"dtime.310","2004-1-13 23:00:00",39,36,34,42,34,44,36,39,35,41,35
"dtime.311","2004-1-13 24:00:00",38,31,34,37,33,39,35,31,33,35,34
"dtime.312","2004-1-14 1:00:00",36,33,31,37,30,38,34,31,33,36,31
"dtime.313","2004-1-14 2:00:00",34,30,30,36,29,35,32,32,30,35,29
"dtime.314","2004-1-14 3:00:00",34,27,28,35,27,32,30,31,29,31,28
"dtime.315","2004-1-14 4:00:00",32,26,27,31,25,30,29,26,28,27,26
"dtime.316","2004-1-14 5:00:00",30,25,26,28,24,29,28,23,26,28,25
"dtime.317","2004-1-14 6:00:00",30,23,24,26,23,27,27,22,25,26,24
"dtime.318","2004-1-14 7:00:00",29,24,23,26,21,26,25,21,23,24,24
"dtime.319","2004-1-14 8:00:00",27,22,22,23,21,25,22,20,22,24,21
"dtime.320","2004-1-14 9:00:00",29,22,20,25,20,25,25,21,23,23,23
"dtime.321","2004-1-14 10:00:00",31,27,22,33,23,32,29,32,28,31,27
"dtime.322","2004-1-14 11:00:00",35,31,24,36,24,35,31,36,32,35,31
"dtime.323","2004-1-14 12:00:00",36,32,25,38,24,36,34,37,33,37,33
"dtime.324","2004-1-14 13:00:00",37,34,27,40,25,39,36,39,35,39,34
"dtime.325","2004-1-14 14:00:00",37,37,27,42,26,41,36,41,35,41,36
"dtime.326","2004-1-14 15:00:00",37,40,28,43,28,43,38,42,37,43,37
"dtime.327","2004-1-14 16:00:00",35,41,29,43,27,45,39,44,38,44,38
"dtime.328","2004-1-14 17:00:00",35,42,27,43,25,45,38,43,38,44,39
"dtime.329","2004-1-14 18:00:00",34,40,26,41,24,43,38,41,38,43,38
"dtime.330","2004-1-14 19:00:00",33,38,26,38,26,41,34,38,36,40,37
